course_id;course_name;module_code;module_name;course_subcategory;course_type;credits;required;availability;recommended_semester;prerequisites;frequency;language;description;url
;Logic-Based Knowledge Representation;ATCS,INS,ROB,ST;Algorithms and Theoretical Computer Science,Intelligent Systems,Robotics,Software Technology;Logic and Its Applications,Artificial Intelligence,Reasoning and Deciding,Software Technology and AI;VU;5,5,3,4.5;0,0,0,0;W;0,0,0,0;;yearly;;;
;Machine Learning 1;DS,INS,ML,ROB,VC;Data Science,Intelligent Systems,Machine Learning,Robotics,Visual Computing;Machine Learning,Machine Learning,Fundamentals 1,Perception,Foundations of Visual Computing;VO;3,3,3,3,3;2,0,0,0,0;S;2,0,0,0,0;;yearly;;;
;Machine Learning 1;DS,INS,ML,ROB,VC;Data Science,Intelligent Systems,Machine Learning,Robotics,Visual Computing;Machine Learning,Machine Learning,Fundamentals 1,Perception,Foundations of Visual Computing;UE;1.5,1.5,1.5,1.5,1.5;2,0,0,0,0;S;2,0,0,0,0;;yearly;;;
;Data Analysis and Introduction to R ;DS,INS;Data Science,Intelligent Systems;Statistics,Machine Learning;VO;3,3;0,0;W;0,0;;yearly;;;
;Data Analysis and Introduction to R ;DS,INS;Data Science,Intelligent Systems;Statistics,Machine Learning;UE;2,2;0,0;W;0,0;;yearly;;;
;Knowledge Discovery and Data Mining 2;DS,INS;Data Science,Intelligent Systems;Knowledge Discovery,Advanced Machine Learning;VU;5,5;0,0;W;0,0;;yearly;;;
;Deep Learning;DS,INS,ML,ROB;Data Science,Intelligent Systems,Machine Learning,Robotics;Machine Learning,Advanced Machine Learning,Fundamentals 1,Perception;VO;3,3,3,3;0,0,2,0;W;0,0,1,0;;yearly;;;
;Deep Learning;DS,INS,ML,ROB;Data Science,Intelligent Systems,Machine Learning,Robotics;Machine Learning,Advanced Machine Learning,Fundamentals 1,Perception;KU;2,2,2,2;0,0,2,0;W;0,0,1,0;;yearly;;;
;Recommender Systems;DS,INS,ML,ST;Data Science,Intelligent Systems,Machine Learning,Software Technology;Web Science,Software Technology,Data Mining,Software Technology and AI;VU;3,3,3,3;0,0,0,0;W;0,0,0,0;;yearly;;;
;Advanced Information Retrieval;DS,INS,IVIS;Data Science,Intelligent Systems,Interactive Visual and Information Systems;Web Science,Software Technology,Interactive Systems and Information Retrieval;VU;5,5,5;0,0,1;W;0,0,1;;yearly;;;
;Information Search and Retrieval;DS,IVIS,ML;Data Science,Interactive Visual and Information Systems,Machine Learning;Web Science,Interactive Systems and Information Retrieval,Data Mining;VU;5,5,5;0,2,0;W;0,1,0;;yearly;;;
;Visual Analytics;DS,IVIS;Data Science,Interactive Visual and Information Systems;Knowledge Discovery,Interactive Visualisation and Data Analysis;VU;5,5;0,1;S;0,2;;yearly;;;
;Human-Centred AI: Applying User-Centred Design;GE,IVIS;Games Engineering,Interactive Visual and Information Systems;AI and Data Analysis,Interactive Visualisation and Data Analysis;VU;4.5,4.5;0,0;S;0,0;;yearly;;;
;Intelligent Systems;INS,IVIS,ROB,ST;Intelligent Systems,Interactive Visual and Information Systems,Robotics,Software Technology;Fundamentals,Knowledge Discovery and Machine Learning,Reasoning and Deciding,Software Technology and AI;VO;3,3,3,3;2,0,1,0;S;2,0,2,0;;yearly;;;
;Intelligent Systems;INS,IVIS,ROB,ST;Intelligent Systems,Interactive Visual and Information Systems,Robotics,Software Technology;Fundamentals,Knowledge Discovery and Machine Learning,Reasoning and Deciding,Software Technology and AI;KU;2,2,2,2;2,0,1,0;S;2,0,2,0;;yearly;;;
;Game Design and Development;GE,IVIS;Games Engineering,Interactive Visual and Information Systems;Game Design,Computer Games and Learning;VU;5,5;2,0;W;1,0;;yearly;;;
;Instructional Design in (Game-Based) Learning;GE,IVIS;Games Engineering,Interactive Visual and Information Systems;Game Design,Computer Games and Learning;SE;3,4;0,0;S;0,0;;yearly;;;
;Simulation and Animation;GE,IVIS,VC;Games Engineering,Interactive Visual and Information Systems,Visual Computing;Visual Computing and Graphics,Computer Games and Learning,Visualisation and Virtual Reality;VU;5,5,5;0,0,0;W;0,0,0;;yearly;;;
